z,H_over_H0,dL,w_phi,w_tot
1.050196588e-01,1.052582411e+00,1.132398113e-01,-9.997443883e-01,-6.380767685e-01
1.057862490e-01,1.053001147e+00,1.141235478e-01,-9.997430582e-01,-6.376113964e-01
1.065533710e-01,1.053420535e+00,1.150086941e-01,-9.997417219e-01,-6.371457600e-01
1.073210252e-01,1.053840575e+00,1.158952516e-01,-9.997403794e-01,-6.366798602e-01
1.080892119e-01,1.054261268e+00,1.167832217e-01,-9.997390308e-01,-6.362136977e-01
1.088579316e-01,1.054682617e+00,1.176726059e-01,-9.997376759e-01,-6.357472732e-01
1.096271845e-01,1.055104620e+00,1.185634054e-01,-9.997363147e-01,-6.352805873e-01
1.103969712e-01,1.055527280e+00,1.194556217e-01,-9.997349473e-01,-6.348136410e-01
1.111672918e-01,1.055950598e+00,1.203492561e-01,-9.997335736e-01,-6.343464347e-01
1.119381468e-01,1.056374573e+00,1.212443102e-01,-9.997321935e-01,-6.338789694e-01
1.127095366e-01,1.056799209e+00,1.221407852e-01,-9.997308071e-01,-6.334112457e-01
1.134814615e-01,1.057224504e+00,1.230386827e-01,-9.997294143e-01,-6.329432643e-01
1.142539220e-01,1.057650460e+00,1.239380039e-01,-9.997280150e-01,-6.324750260e-01
1.150269183e-01,1.058077078e+00,1.248387502e-01,-9.997266094e-01,-6.320065316e-01
1.158004509e-01,1.058504360e+00,1.257409232e-01,-9.997251972e-01,-6.315377817e-01
1.165745201e-01,1.058932304e+00,1.266445241e-01,-9.997237786e-01,-6.310687771e-01
1.173491263e-01,1.059360914e+00,1.275495544e-01,-9.997223534e-01,-6.305995185e-01
1.181242699e-01,1.059790190e+00,1.284560154e-01,-9.997209217e-01,-6.301300067e-01
1.188999512e-01,1.060220132e+00,1.293639087e-01,-9.997194834e-01,-6.296602424e-01
1.196761707e-01,1.060650743e+00,1.302732355e-01,-9.997180384e-01,-6.291902264e-01
1.204529286e-01,1.061082022e+00,1.311839973e-01,-9.997165869e-01,-6.287199594e-01
1.212302254e-01,1.061513970e+00,1.320961954e-01,-9.997151286e-01,-6.282494422e-01
1.220080615e-01,1.061946589e+00,1.330098314e-01,-9.997136637e-01,-6.277786755e-01
1.227864371e-01,1.062379880e+00,1.339249065e-01,-9.997121921e-01,-6.273076600e-01
1.235653527e-01,1.062813842e+00,1.348414223e-01,-9.997107137e-01,-6.268363966e-01
1.243448087e-01,1.063248478e+00,1.357593800e-01,-9.997092285e-01,-6.263648860e-01
1.251248054e-01,1.063683789e+00,1.366787811e-01,-9.997077364e-01,-6.258931290e-01
1.259053433e-01,1.064119775e+00,1.375996271e-01,-9.997062376e-01,-6.254211262e-01
