z,a,N,H_over_H0,D,f,sigma8_z,fsigma8
2.742369414,0.2672103925013534,-1.3197189439841104,4.052659611,0.3382126530600789,0.9928565618365641,0.27057012244806317,0.26863732150948216
2.739775004,0.26739576550204674,-1.319025450258505,4.048625751,0.33844559720235,0.9927805243735238,0.27075647776188,0.2688017579699676
2.737182391,0.2675812672157054,-1.31833195610923,4.044596264,0.3386786840628893,0.9927044450079606,0.2709429472503115,0.26896626807894164
2.734591577,0.26776689749921745,-1.3176384624048085,4.040571146,0.338911913413475,0.9926283235790762,0.27112953073078,0.2691308515620758
2.732002558,0.26795265663909545,-1.3169449684082282,4.036550392,0.33914528556556967,0.9925521597498475,0.27131622845245573,0.26929550852566797
2.729415334,0.2681385446354793,-1.3162514744527523,4.032533998,0.33937880047069063,0.9924759533006616,0.27150304037655254,0.269460238821747
2.726829904,0.268324561560135,-1.3155579806040139,4.02852196,0.33961245817022506,0.9923997039824994,0.27168996653618005,0.26962504236552026
2.724246266,0.26851070755695294,-1.314864486659086,4.024514272,0.3398462587960188,0.9923234115167524,0.27187700703681505,0.2697899191357364
2.721664419,0.2686969826980523,-1.3141709926829426,4.020510932,0.3400802023896279,0.9922470756542084,0.2720641619117023,0.2699548690471997
2.719084362,0.2688833870555798,-1.3134774987405071,4.016511934,0.3403142889925161,0.992170696145617,0.2722514311940129,0.27011989201440434
2.716506094,0.2690699207017095,-1.3127840048966521,4.012517274,0.3405485186460552,0.9920942727416898,0.27243881491684413,0.27028498795153433
2.713929613,0.2692565837811423,-1.3120905109469414,4.008526948,0.34078289148255075,0.9920178051634052,0.27262631318604064,0.27045015683660717
2.711354918,0.2694433763664098,-1.3113970169555829,4.004540951,0.3410174075435478,0.99194129316129,0.2728139260348383,0.270615398583406
2.708782008,0.26963029853007203,-1.3107035229867314,4.00055928,0.34125206687050025,0.9918647364858384,0.2730016534964002,0.27078071310540514
2.706210882,0.26981735034471793,-1.3100100291044883,3.996581929,0.34148686950477175,0.9917881348875114,0.2731894956038174,0.27094610031577004
2.703641538,0.2700045319558677,-1.309316535102897,3.992608894,0.3417218155791367,0.9917114880868886,0.2733774524633094,0.2711115601917912
2.701073976,0.2701918433634681,-1.3086230413155806,3.988640172,0.34195690504351506,0.9916347958641442,0.27356552403481205,0.27127709258172844
2.698508193,0.2703792847864052,-1.3079295472657193,3.984675758,0.3421921381224807,0.9915580579097946,0.2737537104979846,0.27144269752698175
2.695944189,0.270566856224787,-1.307236053286638,3.980715647,0.34242751476589406,0.9914812740039193,0.27394201181271527,0.2716083748752676
2.693381963,0.2707545577516538,-1.3065425594416018,3.976759835,0.3426630350150281,0.9914044438967196,0.2741304280120225,0.27177412453842886
2.690821513,0.2709423895134861,-1.3058490655228767,3.972808317,0.34289869900316666,0.9913275673083296,0.27431895920253335,0.2719399464928003
2.688262838,0.2711303515836905,-1.3051555715930507,3.968861091,0.34313450677176516,0.9912506439887849,0.27450760541741215,0.27210584064982907
2.685705937,0.271318444035705,-1.304462077714654,3.964918151,0.34337045836219093,0.9911736736880995,0.2746963666897528,0.27227180692065556
2.683150808,0.2715066670167148,-1.3037685836786526,3.960979492,0.34360655390818423,0.9910966561261034,0.2748852431265474,0.2724378452811321
2.680597451,0.2716950205267096,-1.3030750898185897,3.957045112,0.34384279335871737,0.9910195910828514,0.2750742346869739,0.2726039555769132
2.678045864,0.271883504713143,-1.3023815959249363,3.953115004,0.34407917684759726,0.9909424782780546,0.2752633414780778,0.2727701377833848
2.675496046,0.27207211964988737,-1.3016881020594229,3.949189166,0.3443157044162034,0.9908653174615293,0.2754525635329627,0.2729363918106812
2.672947995,0.272260865484974,-1.3009946080114574,3.945267593,0.34455237619877355,0.9907881083527528,0.27564190095901886,0.2731027176339431
2.670401711,0.27244974221842067,-1.300301114114532,3.94135028,0.34478919214381293,0.9907108507317499,0.27583135371505035,0.27326911509752777
2.667857192,0.2726387499985305,-1.2996076201575557,3.937437224,0.3450261523856292,0.990633544317888,0.2760209219085034,0.2734355841761117
2.665314437,0.27282788889961745,-1.2989141262014476,3.933528419,0.34526325696562205,0.9905561888608017,0.27621060557249766,0.2736021247788274
2.662773445,0.2730171589960296,-1.2982206323070637,3.929623863,0.34550050592510606,0.9904787841101135,0.27640040474008487,0.27376873681450253
2.660234214,0.2732065604367907,-1.2975271382619915,3.925723549,0.3457378993988621,0.9904013297849119,0.2765903195190897,0.2739354202573401
2.657696744,0.27339609322188246,-1.2968336443997897,3.921827476,0.3459754373347274,0.9903238256652407,0.27678034986778194,0.2741021749500256
2.655161033,0.2735857575006053,-1.2961401505075383,3.917935637,0.3462131198671129,0.9902462714655533,0.2769704958936903,0.2742690008646922
