z,H_over_H0,dL,w_phi,w_tot
1.065533710e-01,1.051934210e+00,1.150184245e-01,-9.997426933e-01,-6.326659246e-01
1.073210252e-01,1.052336515e+00,1.159061353e-01,-9.997413659e-01,-6.321822897e-01
1.080892119e-01,1.052739503e+00,1.167952738e-01,-9.997400324e-01,-6.316983887e-01
1.088579316e-01,1.053143177e+00,1.176858413e-01,-9.997386928e-01,-6.312142224e-01
1.096271845e-01,1.053547535e+00,1.185778394e-01,-9.997373470e-01,-6.307297918e-01
1.103969712e-01,1.053952581e+00,1.194712693e-01,-9.997359951e-01,-6.302450975e-01
1.111672918e-01,1.054358313e+00,1.203661325e-01,-9.997346369e-01,-6.297601405e-01
1.119381468e-01,1.054764735e+00,1.212624304e-01,-9.997332726e-01,-6.292749216e-01
1.127095366e-01,1.055171845e+00,1.221601644e-01,-9.997319020e-01,-6.287894416e-01
1.134814615e-01,1.055579646e+00,1.230593359e-01,-9.997305251e-01,-6.283037014e-01
1.142539220e-01,1.055988138e+00,1.239599462e-01,-9.997291419e-01,-6.278177018e-01
1.150269183e-01,1.056397323e+00,1.248619969e-01,-9.997277524e-01,-6.273314436e-01
1.158004509e-01,1.056807201e+00,1.257654892e-01,-9.997263565e-01,-6.268449278e-01
1.165745201e-01,1.057217773e+00,1.266704247e-01,-9.997249542e-01,-6.263581551e-01
1.173491263e-01,1.057629040e+00,1.275768046e-01,-9.997235455e-01,-6.258711264e-01
1.181242699e-01,1.058041003e+00,1.284846305e-01,-9.997221304e-01,-6.253838425e-01
1.188999512e-01,1.058453664e+00,1.293939036e-01,-9.997207088e-01,-6.248963044e-01
1.196761707e-01,1.058867023e+00,1.303046254e-01,-9.997192808e-01,-6.244085128e-01
1.204529286e-01,1.059281080e+00,1.312167974e-01,-9.997178462e-01,-6.239204687e-01
1.212302254e-01,1.059695838e+00,1.321304209e-01,-9.997164050e-01,-6.234321728e-01
1.220080615e-01,1.060111297e+00,1.330454972e-01,-9.997149573e-01,-6.229436261e-01
1.227864371e-01,1.060527457e+00,1.339620280e-01,-9.997135029e-01,-6.224548294e-01
1.235653527e-01,1.060944321e+00,1.348800144e-01,-9.997120420e-01,-6.219657836e-01
1.243448087e-01,1.061361889e+00,1.357994580e-01,-9.997105743e-01,-6.214764895e-01
1.251248054e-01,1.061780161e+00,1.367203601e-01,-9.997091000e-01,-6.209869480e-01
1.259053433e-01,1.062199139e+00,1.376427221e-01,-9.997076189e-01,-6.204971601e-01
1.266864226e-01,1.062618825e+00,1.385665455e-01,-9.997061311e-01,-6.200071265e-01
1.274680438e-01,1.063039218e+00,1.394918317e-01,-9.997046366e-01,-6.195168481e-01
1.282502072e-01,1.063460320e+00,1.404185820e-01,-9.997031352e-01,-6.190263259e-01
1.290329133e-01,1.063882131e+00,1.413467979e-01,-9.997016270e-01,-6.185355607e-01
1.298161623e-01,1.064304654e+00,1.422764808e-01,-9.997001119e-01,-6.180445533e-01
1.305999547e-01,1.064727888e+00,1.432076320e-01,-9.996985899e-01,-6.175533048e-01
1.313842908e-01,1.065151835e+00,1.441402531e-01,-9.996970610e-01,-6.170618159e-01
1.321691711e-01,1.065576496e+00,1.450743453e-01,-9.996955251e-01,-6.165700875e-01
1.329545958e-01,1.066001871e+00,1.460099102e-01,-9.996939823e-01,-6.160781205e-01
1.337405655e-01,1.066427963e+00,1.469469491e-01,-9.996924325e-01,-6.155859159e-01
1.345270804e-01,1.066854770e+00,1.478854634e-01,-9.996908756e-01,-6.150934745e-01
1.353141409e-01,1.067282296e+00,1.488254546e-01,-9.996893116e-01,-6.146007972e-01
1.361017474e-01,1.067710540e+00,1.497669240e-01,-9.996877405e-01,-6.141078850e-01
1.368899003e-01,1.068139504e+00,1.507098731e-01,-9.996861623e-01,-6.136147386e-01
1.376786000e-01,1.068569188e+00,1.516543032e-01,-9.996845769e-01,-6.131213590e-01
1.384678469e-01,1.068999594e+00,1.526002159e-01,-9.996829844e-01,-6.126277472e-01
1.392576412e-01,1.069430723e+00,1.535476124e-01,-9.996813846e-01,-6.121339040e-01
1.400479835e-01,1.069862575e+00,1.544964942e-01,-9.996797775e-01,-6.116398303e-01
1.408388741e-01,1.070295152e+00,1.554468628e-01,-9.996781632e-01,-6.111455270e-01
1.416303133e-01,1.070728455e+00,1.563987194e-01,-9.996765415e-01,-6.106509951e-01
1.424223016e-01,1.071162484e+00,1.573520657e-01,-9.996749125e-01,-6.101562355e-01
1.432148393e-01,1.071597240e+00,1.583069028e-01,-9.996732761e-01,-6.096612490e-01
1.440079268e-01,1.072032725e+00,1.592632324e-01,-9.996716323e-01,-6.091660366e-01
1.448015645e-01,1.072468940e+00,1.602210557e-01,-9.996699811e-01,-6.086705992e-01
1.455957528e-01,1.072905885e+00,1.611803742e-01,-9.996683224e-01,-6.081749377e-01
1.463904920e-01,1.073343562e+00,1.621411893e-01,-9.996666561e-01,-6.076790531e-01
1.471857826e-01,1.073781972e+00,1.631035025e-01,-9.996649824e-01,-6.071829463e-01
1.479816249e-01,1.074221115e+00,1.640673151e-01,-9.996633010e-01,-6.066866181e-01
1.487780193e-01,1.074660992e+00,1.650326285e-01,-9.996616121e-01,-6.061900696e-01
1.495749662e-01,1.075101606e+00,1.659994442e-01,-9.996599155e-01,-6.056933016e-01
1.503724659e-01,1.075542955e+00,1.669677636e-01,-9.996582112e-01,-6.051963151e-01
1.511705189e-01,1.075985043e+00,1.679375881e-01,-9.996564993e-01,-6.046991110e-01
1.519691256e-01,1.076427869e+00,1.689089191e-01,-9.996547796e-01,-6.042016903e-01
1.527682863e-01,1.076871434e+00,1.698817580e-01,-9.996530521e-01,-6.037040538e-01
1.535680013e-01,1.077315740e+00,1.708561063e-01,-9.996513169e-01,-6.032062026e-01
1.543682712e-01,1.077760788e+00,1.718319653e-01,-9.996495738e-01,-6.027081375e-01
1.551690962e-01,1.078206578e+00,1.728093366e-01,-9.996478228e-01,-6.022098595e-01
1.559704768e-01,1.078653112e+00,1.737882214e-01,-9.996460639e-01,-6.017113696e-01
1.567724134e-01,1.079100390e+00,1.747686212e-01,-9.996442971e-01,-6.012126686e-01
1.575749063e-01,1.079548414e+00,1.757505375e-01,-9.996425224e-01,-6.007137576e-01
1.583779558e-01,1.079997185e+00,1.767339716e-01,-9.996407396e-01,-6.002146374e-01
1.591815625e-01,1.080446703e+00,1.777189250e-01,-9.996389488e-01,-5.997153091e-01
1.599857267e-01,1.080896970e+00,1.787053991e-01,-9.996371499e-01,-5.992157736e-01
1.607904488e-01,1.081347987e+00,1.796933953e-01,-9.996353429e-01,-5.987160318e-01
1.615957291e-01,1.081799754e+00,1.806829150e-01,-9.996335278e-01,-5.982160846e-01
1.624015681e-01,1.082252273e+00,1.816739597e-01,-9.996317045e-01,-5.977159332e-01
1.632079661e-01,1.082705545e+00,1.826665308e-01,-9.996298730e-01,-5.972155783e-01
1.640149235e-01,1.083159570e+00,1.836606296e-01,-9.996280332e-01,-5.967150210e-01
1.648224408e-01,1.083614350e+00,1.846562576e-01,-9.996261852e-01,-5.962142622e-01
1.656305182e-01,1.084069886e+00,1.856534163e-01,-9.996243289e-01,-5.957133029e-01
1.664391563e-01,1.084526179e+00,1.866521070e-01,-9.996224642e-01,-5.952121440e-01
1.672483553e-01,1.084983230e+00,1.876523312e-01,-9.996205911e-01,-5.947107866e-01
1.680581157e-01,1.085441039e+00,1.886540903e-01,-9.996187096e-01,-5.942092315e-01
1.688684379e-01,1.085899608e+00,1.896573857e-01,-9.996168196e-01,-5.937074798e-01
1.696793222e-01,1.086358938e+00,1.906622189e-01,-9.996149211e-01,-5.932055324e-01
1.704907690e-01,1.086819030e+00,1.916685912e-01,-9.996130142e-01,-5.927033903e-01
1.713027788e-01,1.087279885e+00,1.926765041e-01,-9.996110986e-01,-5.922010545e-01
1.721153519e-01,1.087741504e+00,1.936859590e-01,-9.996091744e-01,-5.916985259e-01
1.729284887e-01,1.088203887e+00,1.946969573e-01,-9.996072416e-01,-5.911958055e-01
1.737421896e-01,1.088667037e+00,1.957095005e-01,-9.996053002e-01,-5.906928944e-01
1.745564550e-01,1.089130954e+00,1.967235900e-01,-9.996033500e-01,-5.901897934e-01
1.753712852e-01,1.089595638e+00,1.977392271e-01,-9.996013911e-01,-5.896865036e-01
1.761866808e-01,1.090061092e+00,1.987564134e-01,-9.995994233e-01,-5.891830259e-01
1.770026420e-01,1.090527316e+00,1.997751502e-01,-9.995974468e-01,-5.886793614e-01
1.778191693e-01,1.090994311e+00,2.007954390e-01,-9.995954614e-01,-5.881755109e-01
1.786362630e-01,1.091462078e+00,2.018172813e-01,-9.995934671e-01,-5.876714756e-01
1.794539236e-01,1.091930618e+00,2.028406783e-01,-9.995914638e-01,-5.871672564e-01
1.802721514e-01,1.092399933e+00,2.038656316e-01,-9.995894516e-01,-5.866628543e-01
1.810909469e-01,1.092870023e+00,2.048921426e-01,-9.995874304e-01,-5.861582702e-01
1.819103103e-01,1.093340889e+00,2.059202126e-01,-9.995854001e-01,-5.856535052e-01
1.827302422e-01,1.093812532e+00,2.069498432e-01,-9.995833607e-01,-5.851485603e-01
1.835507430e-01,1.094284954e+00,2.079810358e-01,-9.995813122e-01,-5.846434364e-01
1.843718129e-01,1.094758155e+00,2.090137917e-01,-9.995792545e-01,-5.841381347e-01
1.851934524e-01,1.095232136e+00,2.100481125e-01,-9.995771877e-01,-5.836326559e-01
1.860156619e-01,1.095706899e+00,2.110839995e-01,-9.995751115e-01,-5.831270013e-01
1.868384419e-01,1.096182444e+00,2.121214541e-01,-9.995730261e-01,-5.826211717e-01
1.876617926e-01,1.096658773e+00,2.131604779e-01,-9.995709314e-01,-5.821151682e-01
1.884857145e-01,1.097135887e+00,2.142010722e-01,-9.995688273e-01,-5.816089918e-01
1.893102080e-01,1.097613786e+00,2.152432384e-01,-9.995667138e-01,-5.811026434e-01
1.901352734e-01,1.098092472e+00,2.162869780e-01,-9.995645909e-01,-5.805961242e-01
1.909609113e-01,1.098571945e+00,2.173322924e-01,-9.995624584e-01,-5.800894350e-01
1.917871219e-01,1.099052207e+00,2.183791831e-01,-9.995603165e-01,-5.795825770e-01
