z,H_over_H0,dL,w_phi,w_tot
1.432148393e-01,1.073884261e+00,1.582266209e-01,-9.996714709e-01,-6.149764677e-01
1.440079268e-01,1.074336044e+00,1.591810859e-01,-9.996698063e-01,-6.144990281e-01
1.448015645e-01,1.074788526e+00,1.601370296e-01,-9.996681341e-01,-6.140213616e-01
1.455957528e-01,1.075241707e+00,1.610944533e-01,-9.996664543e-01,-6.135434691e-01
1.463904920e-01,1.075695589e+00,1.620533585e-01,-9.996647668e-01,-6.130653512e-01
1.471857826e-01,1.076150171e+00,1.630137465e-01,-9.996630717e-01,-6.125870089e-01
1.479816249e-01,1.076605457e+00,1.639756189e-01,-9.996613689e-01,-6.121084429e-01
1.487780193e-01,1.077061445e+00,1.649389769e-01,-9.996596583e-01,-6.116296541e-01
1.495749662e-01,1.077518138e+00,1.659038221e-01,-9.996579399e-01,-6.111506432e-01
1.503724659e-01,1.077975536e+00,1.668701559e-01,-9.996562137e-01,-6.106714111e-01
1.511705189e-01,1.078433640e+00,1.678379796e-01,-9.996544797e-01,-6.101919586e-01
1.519691256e-01,1.078892452e+00,1.688072947e-01,-9.996527378e-01,-6.097122865e-01
1.527682863e-01,1.079351972e+00,1.697781026e-01,-9.996509880e-01,-6.092323956e-01
1.535680013e-01,1.079812201e+00,1.707504047e-01,-9.996492302e-01,-6.087522868e-01
1.543682712e-01,1.080273141e+00,1.717242024e-01,-9.996474645e-01,-6.082719609e-01
1.551690962e-01,1.080734791e+00,1.726994972e-01,-9.996456907e-01,-6.077914187e-01
1.559704768e-01,1.081197154e+00,1.736762904e-01,-9.996439089e-01,-6.073106610e-01
1.567724134e-01,1.081660230e+00,1.746545836e-01,-9.996421190e-01,-6.068296887e-01
1.575749063e-01,1.082124020e+00,1.756343781e-01,-9.996403210e-01,-6.063485025e-01
1.583779558e-01,1.082588525e+00,1.766156753e-01,-9.996385148e-01,-6.058671034e-01
1.591815625e-01,1.083053746e+00,1.775984767e-01,-9.996367004e-01,-6.053854921e-01
1.599857267e-01,1.083519685e+00,1.785827836e-01,-9.996348778e-01,-6.049036695e-01
1.607904488e-01,1.083986342e+00,1.795685975e-01,-9.996330470e-01,-6.044216365e-01
1.615957291e-01,1.084453717e+00,1.805559199e-01,-9.996312078e-01,-6.039393938e-01
