z,H_over_H0,dL,w_phi,w_tot
1.860156619e-01,1.096181383e+00,2.111618479e-01,-9.995739958e-01,-5.874039147e-01
1.868384419e-01,1.096662430e+00,2.121989687e-01,-9.995718975e-01,-5.869072643e-01
1.876617926e-01,1.097144242e+00,2.132376537e-01,-9.995697898e-01,-5.864104335e-01
1.884857145e-01,1.097626819e+00,2.142779044e-01,-9.995676727e-01,-5.859134234e-01
1.893102080e-01,1.098110164e+00,2.153197221e-01,-9.995655461e-01,-5.854162350e-01
1.901352734e-01,1.098594277e+00,2.163631084e-01,-9.995634099e-01,-5.849188691e-01
1.909609113e-01,1.099079159e+00,2.174080646e-01,-9.995612642e-01,-5.844213268e-01
1.917871219e-01,1.099564811e+00,2.184545922e-01,-9.995591088e-01,-5.839236089e-01
1.926139057e-01,1.100051235e+00,2.195026925e-01,-9.995569439e-01,-5.834257164e-01
1.934412630e-01,1.100538430e+00,2.205523672e-01,-9.995547692e-01,-5.829276502e-01
1.942691943e-01,1.101026398e+00,2.216036175e-01,-9.995525848e-01,-5.824294114e-01
1.950977000e-01,1.101515141e+00,2.226564450e-01,-9.995503906e-01,-5.819310009e-01
1.959267805e-01,1.102004659e+00,2.237108510e-01,-9.995481866e-01,-5.814324196e-01
1.967564361e-01,1.102494954e+00,2.247668371e-01,-9.995459727e-01,-5.809336685e-01
1.975866672e-01,1.102986025e+00,2.258244046e-01,-9.995437489e-01,-5.804347485e-01
1.984174744e-01,1.103477876e+00,2.268835549e-01,-9.995415152e-01,-5.799356606e-01
1.992488578e-01,1.103970505e+00,2.279442897e-01,-9.995392715e-01,-5.794364058e-01
2.000808181e-01,1.104463915e+00,2.290066101e-01,-9.995370178e-01,-5.789369850e-01
2.009133555e-01,1.104958107e+00,2.300705178e-01,-9.995347540e-01,-5.784373992e-01
2.017464705e-01,1.105453081e+00,2.311360141e-01,-9.995324801e-01,-5.779376493e-01
2.025801634e-01,1.105948838e+00,2.322031006e-01,-9.995301960e-01,-5.774377364e-01
2.034144347e-01,1.106445381e+00,2.332717785e-01,-9.995279018e-01,-5.769376614e-01
2.042492847e-01,1.106942709e+00,2.343420494e-01,-9.995255973e-01,-5.764374252e-01
2.050847139e-01,1.107440823e+00,2.354139147e-01,-9.995232825e-01,-5.759370289e-01
2.059207227e-01,1.107939726e+00,2.364873759e-01,-9.995209574e-01,-5.754364733e-01
2.067573115e-01,1.108439417e+00,2.375624344e-01,-9.995186219e-01,-5.749357595e-01
2.075944806e-01,1.108939899e+00,2.386390916e-01,-9.995162760e-01,-5.744348885e-01
2.084322305e-01,1.109441171e+00,2.397173491e-01,-9.995139196e-01,-5.739338612e-01
2.092705616e-01,1.109943235e+00,2.407972081e-01,-9.995115527e-01,-5.734326786e-01
2.101094742e-01,1.110446092e+00,2.418786702e-01,-9.995091753e-01,-5.729313417e-01
2.109489688e-01,1.110949743e+00,2.429617368e-01,-9.995067872e-01,-5.724298515e-01
2.117890459e-01,1.111454190e+00,2.440464094e-01,-9.995043886e-01,-5.719282088e-01
2.126297057e-01,1.111959432e+00,2.451326894e-01,-9.995019792e-01,-5.714264149e-01
